Cancel Date,Code,Service,Staff,Booking Date,Canceled By,Days
2018-06-25,DUFD01,CON,JJ,2018-06-29,JJ,4.0
2018-06-02,CHAD01,SHCW,KELLY,2018-06-09,SINEAD,7.0
2018-06-02,CHAD01,CHLPL,JOANNE,2018-06-09,SINEAD,7.0
2018-06-22,PET*01,SHCW,JJ,2018-06-22,KELLY,0.0
2018-07-12,PET*01,SHCW,JJ,2018-07-14,TANYA,2.0
2018-04-04,KEN*01,SHCW,SINEAD,2018-05-29,KELLY,55.0
2018-05-23,KEN*01,CBAL,JOANNE,2018-05-29,KELLY,6.0
2018-05-04,CAND01,CCAMO,JJ,2018-05-04,JJ,0.0
2018-07-13,CAND01,CCAMO,JJ,2018-07-13,TANYA,0.0
2018-04-28,TAYE01,SHCM,JJ,2018-04-28,JJ,0.0
2018-05-22,MENE01,SHCW,SINEAD,2018-05-23,ADMIN,1.0
2018-07-17,PAE01,SHCW,KELLY,2018-09-21,JJ,66.0
2018-05-05,IRWE01,CON,JOANNE,2018-06-02,JJ,28.0
2018-06-21,VARE01,SHCW,JJ,2018-06-21,BECKY,0.0
2018-07-27,JONE01,SMARTBOND,KELLY,2018-07-27,KELLY,0.0
2018-04-22,BREF01,SHCM,JJ,2018-04-24,JJ,2.0
2018-04-03,BUDG02,SHCM,SINEAD,2018-04-21,BECKY,18.0
2018-06-14,COLG01,SBD,BECKY,2018-06-21,BECKY,7.0
2018-04-03,STRH01,CHLFH,KELLY,2018-04-04,JJ,1.0
2018-07-03,BREH01,SBD,JJ,2018-07-07,BECKY,4.0
2018-04-11,HENI01,SHCW,JJ,2018-05-03,SINEAD,22.0
2018-06-30,WOOJ02,SHCM,BECKY,2018-06-30,JJ,0.0
2018-05-24,THOJ01,TRE 1,SINEAD,2018-05-24,JJ,0.0
2018-06-28,OHA*01,SHCC,BECKY,2018-06-29,KELLY,1.0
2018-05-25,MAEJ01,CFC,BECKY,2018-06-02,JJ,8.0
2018-07-18,BORJ01,SHCM,JJ,2018-07-18,JJ,0.0
2018-04-28,BISJ01,SBD,JJ,2018-04-28,SINEAD,0.0
2018-07-21,DACJ01,SHCW,BECKY,2018-07-24,KELLY,3.0
2018-04-03,HILJ01,CFC,KELLY,2018-04-03,JJ,0.0
2018-04-11,HILJ01,SBD,SINEAD,2018-04-11,ADMIN,0.0
2018-05-17,HILJ01,CHLPHC,JOANNE,2018-05-19,BECKY,2.0
2018-07-05,HILJ01,SBD,BECKY,2018-07-10,BECKY,5.0
2018-07-11,HOFJ01,SBD,TANYA,2018-07-11,TANYA,0.0
2018-06-28,HELJ01,SHCM,BECKY,2018-06-30,BECKY,2.0
2018-05-29,SCHJ01,SHCM,JJ,2018-05-29,JJ,0.0
2018-06-09,SCHJ01,SHCM,JJ,2018-06-12,ADMIN,3.0
2018-06-09,SCHJ01,CCAMO,JJ,2018-06-12,ADMIN,3.0
2018-06-02,YANJ01,SHCW,KELLY,2018-06-02,JJ,0.0
2018-05-31,NGUJ01,CDPB,KELLY,2018-06-06,KELLY,6.0
2018-06-14,WOOJ01,CTU,JOANNE,2018-06-22,BECKY,8.0
2018-06-14,WOOJ01,SBD,JJ,2018-06-22,BECKY,8.0
2018-07-17,LEEJ02,SHCM,JJ,2018-07-24,KELLY,7.0
2018-07-24,HENK01,SHCW,JJ,2018-07-31,TANYA,7.0
2018-07-24,HENK01,CHLPL,JOANNE,2018-07-24,TANYA,0.0
2018-07-24,HENK01,CHLPL,JOANNE,2018-07-31,TANYA,7.0
2018-06-19,CARK01,SBD,KELLY,2018-06-20,BECKY,1.0
2018-06-21,CARK01,SBD,KELLY,2018-06-27,JJ,6.0
2018-07-12,CARK01,SBD,KELLY,2018-07-12,TANYA,0.0
2018-04-18,KUKK01,SBD,SINEAD,2018-04-26,SINEAD,8.0
2018-05-18,KUKK01,SBD,BECKY,2018-07-03,JOANNE,46.0
2018-05-18,KUKK01,SBD,BECKY,2018-07-10,JOANNE,53.0
2018-05-30,KUKK01,SBD,BECKY,2018-06-05,SINEAD,6.0
2018-07-17,KUKK01,SBD,BECKY,2018-07-24,JJ,7.0
2018-07-17,KUKK01,SBD,BECKY,2018-07-31,JJ,14.0
2018-07-17,KUKK01,SBD,KELLY,2018-07-25,JJ,8.0
2018-07-17,KUKK01,SBD,KELLY,2018-07-26,JJ,9.0
2018-07-17,KUKK01,CALC,JOANNE,2018-07-24,JJ,7.0
2018-07-17,KUKK01,CALC,JOANNE,2018-07-25,JJ,8.0
2018-07-17,KUKK01,CALC,JOANNE,2018-07-26,JJ,9.0
2018-05-26,SPEK01,CTU,JJ,2018-07-26,ADMIN,61.0
2018-06-28,MARK01,SHCW,BECKY,2018-06-28,BECKY,0.0
2018-05-15,SHAL01,SHCW,JJ,2018-05-22,JJ,7.0
2018-06-01,WINL01,SHCW,BECKY,2018-06-26,BECKY,25.0
2018-05-17,HOLL01,SBD,SINEAD,2018-05-31,BECKY,14.0
2018-05-17,HOLL01,CHLPHC,JOANNE,2018-05-31,BECKY,14.0
2018-06-12,HOLL01,SBD,BECKY,2018-06-14,JJ,2.0
2018-06-19,HOLL01,SBD,BECKY,2018-06-21,JOANNE,2.0
2018-05-04,MCPL01,SBD,BECKY,2018-05-08,JJ,4.0
2018-06-01,VARL01,CFC,KELLY,2018-06-02,KELLY,1.0
2018-04-27,LEGL01,SHCW,SINEAD,2018-04-28,JJ,1.0
2018-07-17,STEL01,SHCW,JJ,2018-07-17,KELLY,0.0
2018-07-21,NEEL01,SHCW,JJ,2018-07-28,KELLY,7.0
2018-06-22,.L01,SHCW,JJ,2018-06-27,KELLY,5.0
2018-07-04,WANM01,SHCW,BECKY,2018-07-06,ADMIN,2.0
2018-06-14,TUMM01,CFC,JOANNE,2018-06-16,JJ,2.0
2018-07-25,TUMM01,CTU,JOANNE,2018-08-04,TANYA,10.0
2018-05-18,SIRM01,SBD,BECKY,2018-06-29,JOANNE,42.0
2018-07-13,SIRM01,SBD,BECKY,2018-07-20,JOANNE,7.0
2018-04-08,HUDM01,SHCW,JJ,2018-04-08,JJ,0.0
2018-05-22,HUDM01,SBD,BECKY,2018-05-26,JJ,4.0
2018-06-14,HUDM01,SBD,JJ,2018-06-15,BECKY,1.0
2018-07-17,HUDM01,SHCW,JJ,2018-07-20,KELLY,3.0
2018-07-23,HUDM01,SHCW,JJ,2018-07-24,JJ,1.0
2018-06-22,AURM01,SHCW,JJ,2018-06-23,ADMIN,1.0
2018-04-24,BUSM01,SBD,SINEAD,2018-04-26,ADMIN,2.0
2018-07-09,HEIM01,SHCW,BECKY,2018-07-17,JJ,8.0
2018-07-25,ATMM01,SBD,JJ,2018-07-26,JJ,1.0
2018-05-23,JAYM01,SHCW,KELLY,2018-06-02,JOANNE,10.0
2018-05-23,JAYM01,CT,KELLY,2018-06-02,JOANNE,10.0
2018-05-10,KOOM01,SHCW,JJ,2018-04-03,JJ,-37.0
2018-05-04,PENM01,SBD,BECKY,2018-05-04,JJ,0.0
2018-05-22,PENM01,SHCW,KELLY,2018-05-23,SINEAD,1.0
2018-06-07,PENM01,SHCW,JJ,2018-06-22,KELLY,15.0
2018-06-20,PENM01,CMT,JOANNE,2018-06-22,ADMIN,2.0
2018-06-20,PENM01,SBD,BECKY,2018-06-22,ADMIN,2.0
2018-07-10,MUNM01,SHCC,KELLY,2018-07-11,KELLY,1.0
2018-07-03,WONM02,SBD,JJ,2018-07-21,JJ,18.0
2018-04-03,STEM01,SHCW,BECKY,2018-04-21,JJ,18.0
2018-06-11,REDM01,SBD,JJ,2018-06-23,JJ,12.0
2018-07-10,SINM01,SHCW,JJ,2018-07-12,JJ,2.0
2018-07-03,DEAM01,SHCM,KELLY,2018-07-04,JJ,1.0
2018-05-08,KATM01,CON,JOANNE,2018-05-10,ADMIN,2.0
2018-07-03,KATM01,CON,JOANNE,2018-07-03,JJ,0.0
2018-07-04,ARRM01,CFC,JJ,2018-07-07,KELLY,3.0
2018-06-02,SASM01,CBAL,KELLY,2018-06-02,ADMIN,0.0
2018-07-20,APTM01,SHCM,JJ,2018-07-21,JOANNE,1.0
2018-07-13,KUCM02,CALC,JOANNE,2018-07-17,JJ,4.0
2018-07-26,MEYN01,SBD,KELLY,2018-07-27,KELLY,1.0
2018-07-26,MEYN01,CFC,JOANNE,2018-07-27,KELLY,1.0
2018-07-26,MEYN01,TRE 1,JOANNE,2018-07-27,KELLY,1.0
2018-06-02,MULN01,SDUD,JJ,2018-06-05,SINEAD,3.0
2018-06-13,MERN01,CFC,KELLY,2018-06-15,JJ,2.0
2018-07-19,TN01,CTU,TANYA,2018-07-19,TANYA,0.0
2018-07-07,NIDN01,CTU,JOANNE,2018-07-17,JOANNE,10.0
2018-05-30,KINN01,SHCW,JJ,2018-06-01,JJ,2.0
2018-05-11,LEEO01,SBD,BECKY,2018-05-11,JOANNE,0.0
2018-06-27,JENP01,SHCC,KELLY,2018-06-28,JJ,1.0
2018-07-04,JENP01,SHCW,JJ,2018-07-04,KELLY,0.0
2018-05-02,RODP01,SHCW,SINEAD,2018-05-10,SINEAD,8.0
2018-05-09,RODP01,CHLFH,JOANNE,2018-05-10,JJ,1.0
2018-06-09,MARR02,SHCW,KELLY,2018-06-09,ADMIN,0.0
2018-06-15,TAYR01,SHCM,JJ,2018-06-15,JJ,0.0
2018-07-28,WAX*01,SHCM,JJ,2018-07-28,JJ,0.0
2018-07-06,DAJR01,CTU,JOANNE,2018-07-06,JJ,0.0
2018-07-06,DAJR01,SHCW,BECKY,2018-07-06,JJ,0.0
2018-06-28,EZIR01,SHCW,JJ,2018-07-07,BECKY,9.0
2018-05-06,KIRR01,SHCM,BECKY,2018-05-06,JJ,0.0
2018-05-08,KIRR01,SHCM,BECKY,2018-05-08,SINEAD,0.0
2018-05-11,KIRR01,SHCM,BECKY,2018-05-11,JJ,0.0
2018-05-23,POTR01,SHCM,JJ,2018-07-04,JJ,42.0
2018-05-23,POTR01,SHCM,JJ,2018-05-30,JOANNE,7.0
2018-07-24,BLAR01,SHCM,BECKY,2018-07-24,TANYA,0.0
2018-04-10,DOWR01,SBD,SINEAD,2018-04-11,JJ,1.0
2018-05-31,DOWR01,SBD,KELLY,2018-05-31,JJ,0.0
2018-04-25,NIES02,SHCM,JJ,2018-04-26,SINEAD,1.0
2018-05-29,ZUKS01,SHCM,BECKY,2018-05-29,JJ,0.0
2018-05-29,ZUKS01,SHCM,BECKY,2018-06-26,JJ,28.0
2018-05-25,CARS01,SHCW,BECKY,2018-05-25,JOANNE,0.0
2018-06-22,SUNS01,SHCW,KELLY,2018-06-27,BECKY,5.0
2018-07-03,SUNS01,SHCW,KELLY,2018-07-03,JJ,0.0
2018-05-10,NGUS01,SHCW,JJ,2018-05-11,SINEAD,1.0
2018-05-10,NGUS01,CTU,JOANNE,2018-05-11,SINEAD,1.0
2018-07-03,DEYS01,CHLPL,JOANNE,2018-07-03,JJ,0.0
2018-06-02,BROS01,SBD,BECKY,2018-06-05,JJ,3.0
2018-06-14,BROS01,SBD,BECKY,2018-06-14,BECKY,0.0
2018-07-14,BROS01,SBD,BECKY,2018-07-17,JJ,3.0
2018-07-14,BROS01,SBD,BECKY,2018-07-27,JJ,13.0
2018-07-23,BROS01,SBD,BECKY,2018-07-28,JJ,5.0
2018-07-28,BROS01,SHCW,BECKY,2018-07-31,JJ,3.0
2018-06-05,TAGS02,SHCW,KELLY,2018-06-05,JJ,0.0
2018-06-05,TAGS02,CFC,KELLY,2018-06-05,JJ,0.0
2018-07-13,SHMS01,SHCM,KELLY,2018-07-13,KELLY,0.0
2018-04-22,COLS01,SBD,BECKY,2018-04-22,BECKY,0.0
2018-06-12,HUDS01,CFC,JJ,2018-06-15,JJ,3.0
2018-06-14,HUDS01,SBD,JJ,2018-06-15,ADMIN,1.0
2018-07-10,KEIS01,SHCW,BECKY,2018-07-19,JJ,9.0
2018-07-10,KEIS01,SBD,TANYA,2018-07-18,JJ,8.0
2018-06-07,BOES01,CHLPL,JOANNE,2018-06-08,KELLY,1.0
2018-06-06,ERWS01,SHCW,JJ,2018-06-09,JJ,3.0
2018-06-06,ERWS01,CTU,JOANNE,2018-06-09,JJ,3.0
2018-07-17,FLAS01,SHCM,BECKY,2018-08-28,JJ,42.0
2018-07-27,INGS01,CHLHH,TANYA,2018-07-27,JOANNE,0.0
2018-07-21,DES01,SBD,KELLY,2018-07-21,KELLY,0.0
2018-07-21,DES01,CALC,JOANNE,2018-07-21,KELLY,0.0
2018-06-29,TOPS01,SHCW,BECKY,2018-06-30,ADMIN,1.0
2018-07-13,TOPS01,CBAL,JOANNE,2018-07-14,JJ,1.0
2018-05-02,NELT01,SBD,SINEAD,2018-05-03,JJ,1.0
2018-05-05,NELT01,SBD,BECKY,2018-05-06,JJ,1.0
2018-05-12,NELT01,SBD,SINEAD,2018-05-17,JJ,5.0
2018-05-16,NELT01,SBD,SINEAD,2018-05-23,SINEAD,7.0
2018-05-26,NELT01,SBD,SINEAD,2018-05-29,KELLY,3.0
2018-07-03,NELT01,SBD,BECKY,2018-07-03,JOANNE,0.0
2018-05-30,BROT01,SHCW,SINEAD,2018-06-02,SINEAD,3.0
2018-05-06,ROUT01,SBD,JJ,2018-05-06,JJ,0.0
2018-06-07,ALCV01,CFC,KELLY,2018-06-07,KELLY,0.0
2018-06-26,FISV01,CFC,JOANNE,2018-06-30,JJ,4.0
2018-05-04,MCGV01,SBD,BECKY,2018-05-04,JJ,0.0
2018-05-18,MIRY01,CDPB,JOANNE,2018-05-19,JOANNE,1.0
