Cancel Date,Code,Service,Staff,Booking Date,Canceled By,Days
2018-05-22,MASA01,CFC,JOANNE,2018-05-24,ADMIN,2.0
2018-06-27,MASA01,CBAL,KELLY,2018-06-27,ADMIN,0.0
2018-07-03,MASA01,SHCM,BECKY,2018-07-10,BECKY,7.0
2018-07-10,MASA01,SHCC,JJ,2018-07-11,KELLY,1.0
2018-07-24,TRUA01,SHCM,KELLY,2018-07-24,TANYA,0.0
2018-07-27,GOOA01,SHCW,JJ,2018-07-28,TANYA,1.0
2018-04-13,MOLA01,SHCW,JJ,2018-04-20,BECKY,7.0
2018-07-21,?A01,SBD,KELLY,2018-07-21,TANYA,0.0
2018-07-07,ABL*01,SBD,KELLY,2018-07-07,JJ,0.0
2018-04-04,SARA01,CBAL,KELLY,2018-04-04,KELLY,0.0
2018-06-14,TAA01,CDPB,JOANNE,2018-06-14,JOANNE,0.0
2018-07-19,LIAA01,FRI,JJ,2018-07-19,TANYA,0.0
2018-06-30,TAMA01,SHCW,KELLY,2018-06-30,BECKY,0.0
2018-06-30,TAMA01,CBAL,KELLY,2018-06-30,BECKY,0.0
2018-07-10,JACA01,SHCW,JJ,2018-07-11,BECKY,1.0
2018-07-10,JACA01,SHCW,JJ,2018-07-11,BECKY,1.0
2018-07-10,JACA01,CFC,JOANNE,2018-07-11,BECKY,1.0
2018-07-10,JACA01,SHCW,JJ,2018-07-11,JJ,1.0
2018-07-10,JACA01,SHCW,JJ,2018-07-11,JJ,1.0
2018-07-10,JACA01,CFC,JOANNE,2018-07-11,JJ,1.0
2018-07-12,JACA01,SHCW,JJ,2018-07-12,KELLY,0.0
2018-07-24,GOOA02,SHCW,JJ,2018-07-26,TANYA,2.0
2018-05-31,PAUB01,CBAL,KELLY,2018-05-31,JJ,0.0
2018-05-21,HIMB01,SHCW,JJ,2018-05-22,JJ,1.0
2018-05-08,CARB01,CON,BECKY,2018-05-08,JJ,0.0
2018-05-08,DONB01,SBD,SINEAD,2018-05-12,SINEAD,4.0
2018-05-08,DONB01,CHLPL,JOANNE,2018-05-12,SINEAD,4.0
2018-05-17,DONB01,SHCW,JJ,2018-05-17,BECKY,0.0
2018-05-17,DONB01,CCO,JOANNE,2018-05-17,BECKY,0.0
2018-05-18,DONB01,CBAL,KELLY,2018-05-18,BECKY,0.0
2018-05-18,DONB01,CHLPHC,JOANNE,2018-06-05,JOANNE,18.0
2018-06-01,DONB01,SMO,BECKY,2018-06-01,BECKY,0.0
2018-04-10,MOIB01,CTU,KELLY,2018-04-26,JJ,16.0
2018-05-28,MOIB01,SHCW,SINEAD,2018-05-30,JJ,2.0
2018-07-09,ELCB01,CTU,JOANNE,2018-07-10,JJ,1.0
2018-06-07,COLB01,SHCM,JJ,2018-06-07,KELLY,0.0
2018-07-10,INFB01,CON,KELLY,2018-07-13,BECKY,3.0
2018-05-22,HENB01,SHCM,JJ,2018-06-05,JJ,14.0
2018-06-19,HENB01,SHCM,JJ,2018-06-19,JJ,0.0
2018-05-10,BHAB01,SDUD,BECKY,2018-05-17,JJ,7.0
2018-05-29,WALC01,SBD,BECKY,2018-05-29,JJ,0.0
2018-07-10,SCHC01,CALC,JOANNE,2018-07-27,KELLY,17.0
2018-07-10,SCHC01,CALC,JOANNE,2018-07-13,KELLY,3.0
2018-07-19,OZDC02,CDPB,JOANNE,2018-07-19,KELLY,0.0
2018-03-27,WIL*01,SHCW,JJ,2018-03-29,JJ,2.0
2018-06-28,MEIC01,SHCM,KELLY,2018-06-28,KELLY,0.0
2018-06-29,GAD*01,CFC,JOANNE,2018-06-29,BECKY,0.0
2018-04-12,CHOC01,SHCW,BECKY,2018-04-13,JJ,1.0
2018-06-30,WOOD02,SBD,JJ,2018-06-30,JJ,0.0
2018-07-15,WOOD02,SBD,BECKY,2018-07-15,JJ,0.0
2018-05-24,JOHD01,SHCM,SINEAD,2018-05-31,JJ,7.0
2018-07-17,FLAD01,SHCM,BECKY,2018-08-25,JJ,39.0
2018-05-02,GUYD01,SHCM,BECKY,2018-05-03,JJ,1.0
2018-05-02,GUYD01,CCAMO,BECKY,2018-05-03,JJ,1.0
2018-04-25,ROLD01,SHCM,JJ,2018-04-25,SINEAD,0.0
2018-07-17,THOD01,SHCM,JJ,2018-07-17,JOANNE,0.0
2018-07-13,LAMD01,CON,JOANNE,2018-07-14,BECKY,1.0
2018-07-13,LAMD01,CBAL,JOANNE,2018-07-13,BECKY,0.0
2018-04-27,GOSD01,SHCW,JJ,2018-05-17,BECKY,20.0
2018-05-08,SKUD01,SBD,BECKY,2018-05-12,SINEAD,4.0
2018-05-18,SKUD01,SBD,BECKY,2018-05-26,JJ,8.0
2018-07-19,SKUD01,SBD,BECKY,2018-07-19,TANYA,0.0
2018-05-17,HILD01,SBD,KELLY,2018-05-31,ADMIN,14.0
2018-05-17,HILD01,CHLPHC,JOANNE,2018-05-31,ADMIN,14.0
2018-05-28,HILD01,SBD,BECKY,2018-05-29,JJ,1.0
