ID,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency,first_visit,is_revisit_30days
0,afternoon,Wednesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
1,morning,Wednesday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
2,afternoon,Wednesday,STYLE,JJ,COLOR,JOANNE,2,262.0,Wednesday,morning,0,1,262,2,1,1,2,0,0,0,35,0,0
3,afternoon,Thursday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
4,evening,Saturday,STYLE,KELLY,STYLE,KELLY,1,35.0,Thursday,afternoon,0,0,35,1,1,0,0,0,0,0,9,0,1
5,afternoon,Saturday,STYLE,KELLY,STYLE,KELLY,1,55.0,Saturday,evening,0,0,90,2,2,0,0,0,0,0,14,0,1
6,afternoon,Saturday,STYLE,KELLY,STYLE,KELLY,1,35.0,Saturday,afternoon,0,0,145,3,3,0,0,0,0,0,14,0,1
7,afternoon,Saturday,STYLE,KELLY,STYLE,KELLY,1,35.0,Saturday,afternoon,0,0,145,3,3,0,0,0,0,0,14,0,1
8,evening,Thursday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
9,afternoon,Friday,STYLE,BECKY,STYLE,BECKY,1,76.0,Thursday,evening,0,1,30,1,1,0,1,0,0,0,36,0,0
10,afternoon,Saturday,STYLE,KELLY,STYLE,BECKY,1,100.4,Friday,afternoon,0,1,80,2,2,0,2,0,0,1,15,0,1
11,evening,Tuesday,STYLE,BECKY,STYLE,KELLY,0,0.0,Saturday,Unknown,1,0,80,3,3,0,2,1,1,0,17,0,1
12,afternoon,Saturday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
13,evening,Thursday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
14,evening,Thursday,COLOR,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
15,morning,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
16,afternoon,Thursday,STYLE,HOUSE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
17,afternoon,Thursday,STYLE,JJ,STYLE,HOUSE,1,230.0,Thursday,afternoon,0,0,230,1,1,0,0,0,0,0,42,0,0
18,morning,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
