ID,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency,first_visit,is_revisit_30days
19,afternoon,Thursday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
20,afternoon,Thursday,COLOR,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
21,morning,Tuesday,COLOR,KELLY,COLOR,KELLY,1,0.0,Thursday,Unknown,1,0,55,2,1,1,0,1,1,0,5,0,1
22,afternoon,Tuesday,COLOR,KELLY,COLOR,KELLY,1,0.0,Thursday,Unknown,1,0,55,2,1,1,0,1,1,0,5,0,1
23,afternoon,Tuesday,MISC,KELLY,COLOR,KELLY,1,0.0,Thursday,Unknown,1,0,55,2,1,1,0,1,1,0,5,0,1
24,afternoon,Saturday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
25,evening,Friday,STYLE,BECKY,STYLE,BECKY,1,30.0,Saturday,afternoon,0,0,30,1,1,0,0,0,0,0,41,0,0
26,afternoon,Sunday,STYLE,BECKY,STYLE,BECKY,1,50.0,Friday,evening,0,0,80,2,2,0,0,0,0,0,44,0,0
27,afternoon,Saturday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
28,afternoon,Friday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
29,morning,Friday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
30,morning,Saturday,STYLE,JJ,STYLE,JJ,1,82.0,Friday,morning,0,0,82,1,1,0,0,0,0,0,99,0,0
31,afternoon,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
32,morning,Wednesday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,64,0,0
33,evening,Tuesday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
34,evening,Friday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
35,afternoon,Wednesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
36,afternoon,Wednesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
37,afternoon,Tuesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
38,afternoon,Tuesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
39,morning,Tuesday,COLOR,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
40,afternoon,Tuesday,COLOR,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
41,evening,Tuesday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
42,morning,Wednesday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
43,afternoon,Thursday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
44,morning,Saturday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
45,afternoon,Sunday,STYLE,JJ,STYLE,JJ,1,40.0,Saturday,morning,0,0,40,1,1,0,0,0,0,0,29,0,1
46,evening,Friday,STYLE,JJ,STYLE,JJ,1,30.0,Sunday,afternoon,0,0,70,2,2,0,0,0,0,0,33,0,0
47,evening,Friday,STYLE,JJ,STYLE,JJ,1,119.6,Friday,evening,0,1,100,3,3,0,1,0,0,0,35,0,0
48,afternoon,Saturday,STYLE,JJ,STYLE,JJ,1,96.6,Friday,evening,0,1,130,4,4,0,2,0,0,1,22,0,1
49,morning,Sunday,STYLE,JJ,STYLE,JJ,0,0.0,Saturday,Unknown,1,0,130,5,5,0,2,1,1,0,8,0,1
50,evening,Tuesday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
51,morning,Saturday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
52,afternoon,Friday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
53,evening,Wednesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
54,evening,Friday,STYLE,JJ,STYLE,JJ,1,82.0,Wednesday,evening,0,0,82,1,1,0,0,0,0,0,30,0,1
55,evening,Saturday,STYLE,KELLY,STYLE,JJ,1,52.0,Friday,evening,0,0,134,2,2,0,0,0,0,0,15,0,1
56,afternoon,Friday,STYLE,KELLY,STYLE,KELLY,1,55.0,Saturday,evening,0,0,189,3,3,0,0,0,0,0,13,0,1
57,afternoon,Friday,COLOR,JOANNE,STYLE,KELLY,1,55.0,Saturday,evening,0,0,189,3,3,0,0,0,0,0,13,0,1
58,afternoon,Wednesday,STYLE,JJ,COLOR,JOANNE,2,202.0,Friday,afternoon,0,1,309,5,4,1,2,0,0,0,26,0,1
59,afternoon,Wednesday,COLOR,JOANNE,COLOR,JOANNE,2,202.0,Friday,afternoon,0,1,309,5,4,1,2,0,0,0,26,0,1
60,morning,Saturday,STYLE,JJ,COLOR,JOANNE,2,137.0,Wednesday,afternoon,0,1,446,7,5,2,4,0,0,0,3,0,1
61,afternoon,Saturday,COLOR,JJ,COLOR,JOANNE,2,137.0,Wednesday,afternoon,0,1,446,7,5,2,4,0,0,0,3,0,1
62,afternoon,Tuesday,STYLE,BECKY,COLOR,JJ,1,0.0,Saturday,Unknown,0,0,498,9,6,3,4,1,0,0,3,0,1
63,morning,Tuesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
64,afternoon,Wednesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
65,evening,Wednesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
66,afternoon,Thursday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
67,afternoon,Saturday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
68,evening,Thursday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
69,afternoon,Tuesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
70,afternoon,Tuesday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
71,afternoon,Sunday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
72,afternoon,Saturday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
73,morning,Wednesday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
74,morning,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,70.0,Wednesday,morning,0,0,70,1,1,0,0,0,0,0,56,0,0
75,afternoon,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
76,morning,Thursday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
77,morning,Thursday,COLOR,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
78,morning,Saturday,STYLE,BECKY,COLOR,BECKY,2,95.0,Thursday,morning,0,1,95,2,1,1,2,0,0,0,37,0,0
79,morning,Saturday,COLOR,JOANNE,COLOR,BECKY,2,95.0,Thursday,morning,0,1,95,2,1,1,2,0,0,0,37,0,0
80,afternoon,Thursday,STYLE,BECKY,COLOR,JOANNE,2,120.0,Saturday,morning,0,1,215,4,2,2,4,0,0,0,33,0,0
81,afternoon,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,120.0,Saturday,morning,0,1,215,4,2,2,4,0,0,0,33,0,0
82,afternoon,Saturday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
83,afternoon,Saturday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
84,afternoon,Saturday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
85,afternoon,Saturday,COLOR,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
86,afternoon,Sunday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
87,afternoon,Friday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
88,afternoon,Friday,STYLE,JJ,STYLE,JJ,1,70.73,Friday,afternoon,0,1,40,1,1,0,1,0,0,0,84,0,0
89,morning,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
90,evening,Thursday,STYLE,JJ,STYLE,JJ,1,40.0,Tuesday,morning,0,0,40,1,1,0,0,0,0,0,51,0,0
91,evening,Tuesday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
92,evening,Friday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
93,evening,Thursday,STYLE,JJ,STYLE,JJ,1,119.8,Friday,evening,0,1,82,1,1,0,1,0,0,0,41,0,0
94,evening,Tuesday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
95,afternoon,Friday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
96,afternoon,Wednesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
97,afternoon,Wednesday,COLOR,KELLY,STYLE,KELLY,1,55.0,Wednesday,afternoon,0,0,55,1,1,0,0,0,0,0,14,0,1
98,evening,Thursday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
99,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,1,65.0,Thursday,evening,0,0,65,1,0,1,0,0,0,0,35,0,0
100,afternoon,Wednesday,COLOR,JOANNE,COLOR,JOANNE,1,70.0,Thursday,morning,0,0,135,2,0,2,0,0,0,0,27,0,1
101,afternoon,Saturday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
102,morning,Saturday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
103,morning,Saturday,COLOR,JOANNE,COLOR,JOANNE,2,282.0,Saturday,morning,0,1,282,2,1,1,2,0,0,1,28,0,1
104,afternoon,Friday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
105,afternoon,Saturday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
106,afternoon,Wednesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
107,morning,Wednesday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
108,afternoon,Wednesday,STYLE,JJ,COLOR,JOANNE,2,182.0,Wednesday,morning,0,1,182,2,1,1,2,0,0,0,14,0,1
109,afternoon,Saturday,STYLE,JJ,STYLE,JJ,1,52.0,Wednesday,afternoon,0,0,234,3,2,1,2,0,0,0,45,0,0
110,morning,Wednesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
111,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,1,40.0,Wednesday,morning,0,0,40,1,1,0,0,0,0,0,34,0,0
112,morning,Saturday,STYLE,JJ,STYLE,JJ,1,60.0,Tuesday,afternoon,0,0,100,2,2,0,0,0,0,0,32,0,0
113,morning,Wednesday,STYLE,JJ,STYLE,JJ,1,110.4,Saturday,morning,0,1,160,3,3,0,1,0,0,0,32,0,0
114,evening,Tuesday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
115,morning,Wednesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
116,afternoon,Thursday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
117,morning,Thursday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
118,afternoon,Thursday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
119,morning,Saturday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
120,evening,Thursday,MISC,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
121,afternoon,Saturday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
122,afternoon,Tuesday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
123,morning,Tuesday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,1,1
124,afternoon,Tuesday,MISC,BECKY,COLOR,JOANNE,2,0.0,Tuesday,morning,1,0,0,2,1,1,0,0,2,0,49,0,0
125,morning,Thursday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
126,afternoon,Saturday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
127,morning,Monday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
128,afternoon,Tuesday,STYLE,BECKY,STYLE,BECKY,1,60.0,Monday,morning,0,0,60,1,1,0,0,0,0,1,99,0,0
129,evening,Thursday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
130,afternoon,Friday,COLOR,JOANNE,COLOR,JOANNE,1,120.0,Thursday,evening,0,0,120,1,0,1,0,0,0,0,29,0,1
131,afternoon,Friday,COLOR,JOANNE,COLOR,JOANNE,1,120.0,Thursday,evening,0,0,120,1,0,1,0,0,0,0,29,0,1
132,morning,Wednesday,COLOR,JOANNE,COLOR,JOANNE,1,120.0,Friday,Unknown,0,0,360,3,0,3,0,1,0,0,40,0,0
133,afternoon,Saturday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
134,evening,Thursday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
135,evening,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
136,evening,Wednesday,STYLE,JJ,STYLE,JJ,1,40.0,Tuesday,evening,0,0,40,1,1,0,0,0,0,0,29,0,1
137,afternoon,Wednesday,STYLE,JJ,STYLE,JJ,1,60.0,Wednesday,evening,0,0,100,2,2,0,0,0,0,1,28,0,1
138,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,0,0.0,Wednesday,Unknown,1,0,100,3,3,0,0,1,1,0,6,0,1
139,afternoon,Tuesday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
140,evening,Tuesday,STYLE,SINEAD,STYLE,SINEAD,1,70.0,Tuesday,afternoon,0,0,70,1,1,0,0,0,0,0,35,0,0
141,afternoon,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,154.25,Tuesday,evening,0,1,160,2,2,0,1,0,0,0,22,0,1
142,afternoon,Tuesday,STYLE,BECKY,STYLE,SINEAD,1,90.0,Wednesday,afternoon,0,0,250,3,3,0,1,0,0,0,48,0,0
143,morning,Thursday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
144,morning,Thursday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
145,morning,Saturday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
146,morning,Sunday,STYLE,BECKY,STYLE,SINEAD,1,35.0,Saturday,morning,0,0,35,1,1,0,0,0,0,0,43,0,0
147,morning,Saturday,STYLE,BECKY,STYLE,BECKY,1,50.0,Sunday,morning,0,0,85,2,2,0,0,0,0,0,41,0,0
148,afternoon,Thursday,STYLE,KELLY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
149,afternoon,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
150,morning,Friday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,94,0,0
151,morning,Thursday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
152,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,1,82.0,Thursday,morning,0,0,82,1,1,0,0,0,0,0,54,0,0
153,afternoon,Wednesday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
154,afternoon,Wednesday,COLOR,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
155,morning,Wednesday,MISC,SINEAD,COLOR,SINEAD,2,115.0,Wednesday,afternoon,0,1,115,2,1,1,2,0,0,0,35,0,0
156,afternoon,Friday,STYLE,BECKY,MISC,SINEAD,1,0.0,Wednesday,morning,0,0,115,3,1,1,2,0,0,0,37,0,0
157,evening,Thursday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
158,afternoon,Saturday,STYLE,SINEAD,STYLE,SINEAD,1,35.0,Thursday,evening,0,0,35,1,1,0,0,0,0,0,23,0,1
159,morning,Friday,STYLE,BECKY,STYLE,SINEAD,1,35.0,Saturday,afternoon,0,0,70,2,2,0,0,0,0,0,20,0,1
160,evening,Thursday,STYLE,BECKY,STYLE,BECKY,1,50.0,Friday,morning,0,0,120,3,3,0,0,0,0,0,20,0,1
161,morning,Thursday,STYLE,BECKY,STYLE,BECKY,1,50.0,Thursday,evening,0,0,170,4,4,0,0,0,0,0,21,0,1
162,afternoon,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
163,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,0,0.0,Tuesday,Unknown,0,0,0,1,1,0,0,1,0,0,21,0,1
164,afternoon,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
165,morning,Thursday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,37,0,0
166,afternoon,Sunday,STYLE,JJ,STYLE,JJ,1,102.0,Thursday,morning,0,0,184,2,2,0,0,0,0,0,38,0,0
167,afternoon,Saturday,STYLE,JJ,STYLE,JJ,1,125.4,Sunday,afternoon,0,1,286,3,3,0,1,0,0,0,20,0,1
168,afternoon,Saturday,STYLE,JJ,STYLE,JJ,1,125.4,Sunday,afternoon,0,1,286,3,3,0,1,0,0,0,20,0,1
169,evening,Thursday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
170,evening,Thursday,STYLE,SINEAD,STYLE,SINEAD,1,35.0,Thursday,evening,0,0,35,1,1,0,0,0,0,0,28,0,1
171,evening,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,55.0,Thursday,evening,0,0,90,2,2,0,0,0,0,0,27,0,1
172,afternoon,Tuesday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
173,morning,Tuesday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,42,0,0
174,morning,Tuesday,STYLE,JJ,STYLE,JJ,1,102.0,Tuesday,morning,0,0,184,2,2,0,0,0,0,0,49,0,0
175,morning,Thursday,STYLE,JJ,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
176,afternoon,Thursday,STYLE,JJ,STYLE,JJ,1,82.0,Thursday,morning,0,0,82,1,1,0,0,0,0,0,63,0,0
177,afternoon,Wednesday,STYLE,SINEAD,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
178,morning,Tuesday,STYLE,BECKY,STYLE,SINEAD,1,70.0,Wednesday,afternoon,0,0,70,1,1,0,0,0,0,0,55,0,0
179,afternoon,Thursday,COLOR,JOANNE,STYLE,BECKY,1,80.0,Tuesday,morning,0,0,150,2,2,0,0,0,0,0,2,0,1
180,afternoon,Saturday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
181,morning,Saturday,COLOR,JOANNE,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
182,afternoon,Thursday,STYLE,KELLY,COLOR,JOANNE,2,170.0,Saturday,morning,0,1,170,2,1,1,2,0,0,0,33,0,0
183,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,170.0,Saturday,morning,0,1,170,2,1,1,2,0,0,0,33,0,0
184,afternoon,Thursday,STYLE,KELLY,COLOR,JOANNE,2,195.0,Thursday,morning,0,1,365,4,2,2,4,0,0,0,35,0,0
185,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,195.0,Thursday,morning,0,1,365,4,2,2,4,0,0,0,35,0,0
186,morning,Friday,STYLE,BECKY,Unknown,Unknown,0,0.0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,1
187,afternoon,Tuesday,STYLE,HOUSE,STYLE,BECKY,1,60.0,Friday,morning,0,0,60,1,1,0,0,0,0,0,11,0,1
